Zip Code;Latitude;Longitude;Area;Basic debt DOY. Control Centers;Basic Customs debt;State revenues;Total State;Basic debt e-EFKA;Collected e-EFKA;Total e-EFKA
10559;37.9794328;23.7311148;ATHINA ;19448237.96;0;31543949.98;50992187.94;505348.18;947973.94;1453322.12
10559;37.9794328;23.7311148;ATHINA ;6433742.51;1783.51;14558072.65;20993598.67;1439960.62;2711980.56;4151941.18
10559;37.9794328;23.7311148;ATHINA ;9259419.18;0;6668705.46;15928124.64;2119852.16;2053415.14;4173267.30
10559;37.9794328;23.7311148;ATHINA ;6645003.60;0;13289550.76;19934554.36;0;0;0
10559;37.9794328;23.7311148;ATHINA ;4364678.66;0;8824019.55;13188698.21;0;0;0
10559;37.9794328;23.7311148;ATHINA ;3740548.41;0;7555122.59;11295671.00;0;0;0
14564;38.09562929999999;23.7913435;KIFISIA ;155627005.14;0;146993956.13;302620961.27;0;0;0
14564;38.09562929999999;23.7913435;KIFISIA ;39633566.81;0;78640660.24;118274227.05;1846809.25;3512915.28;5359724.53
14564;38.09562929999999;23.7913435;KIFISIA ;38245734.11;0;76490344.84;114736078.95;2053899.75;3911778.07;5965677.82
14564;38.09562929999999;23.7913435;KIFISIA ;33026042.59;0;56991652.36;90017694.95;4147819.03;7444699.07;11592518.10
14564;38.09562929999999;23.7913435;KIFISIA ;20217846.31;0;40745702.07;60963548.38;0;0;0
14564;38.09562929999999;23.7913435;KIFISIA ;7793273.88;0;13804982.75;21598256.63;415791.69;769286.94;1185078.63
14564;38.09562929999999;23.7913435;KIFISIA ;6650312.01;1529.79;10147096.34;16798938.14;359349.73;569180.15;928529.88
10560;37.9824516;23.730563;ATHINA ;17113544.01;0;15895190.72;33008734.73;0;0;0
10560;37.9824516;23.730563;ATHINA ;10234941.55;32479.16;20201897.94;30469318.65;0;0;0
10560;37.9824516;23.730563;ATHINA ;12527217.90;0;8597116.49;21124334.39;0;0;0
10561;37.9799104;23.7293852;ATHINA ;15674963.93;0;24167780.20;39842744.13;0;0;0
10561;37.9799104;23.7293852;ATHINA ;7813359.47;0;4499113.02;12312472.49;1207201.90;672515.91;1879717.81
10561;37.9799104;23.7293852;ATHINA ;8080264.10;0;3476537.91;11556802.01;0;0;0
10561;37.9799104;23.7293852;ATHINA ;6224638.45;0;4946887.91;11171526.36;0;0;0
68500;40.8942408;26.1722017;FERES ;120491579.30;0;153928898.52;274420477.82;5525073.61;9712629.19;15237702.80
10562;37.9756512;23.7340008;ATHINA ;30547328.35;0;44134092.81;74681421.16;0;0;0
10562;37.9756512;23.7340008;ATHINA ;9853061.56;0;19761952.71;29615014.27;0;0;0
16604;37.9756512;23.7340008;ELLINIKO ;94112944.42;0;188528776.24;282641720.66;1752983.10;3183413.62;4936396.72
10563;37.9844383;23.7281172;ATHINA ;31708949.82;0;48202283.08;79911232.90;611432.84;918626.43;1530059.27
10563;37.9844383;23.7281172;ATHINA ;11760561.14;0;23533011.38;35293572.52;202027.13;376594.31;578621.44
10563;37.9844383;23.7281172;ATHINA ;10555572.23;0;20250586.71;30806158.94;1586680.14;2960688.99;4547369.13
10563;37.9844383;23.7281172;ATHINA ;1155460.16;8337.24;2357255.39;3521052.79;4583598.14;8737362.68;13320960.82
10563;37.9844383;23.7281172;ATHINA ;5535954.76;0;10922941.00;16458895.76;0;0;0
10563;37.9844383;23.7281172;ATHINA ;10927607.45;0;4940150.61;15867758.06;275735.72;276837.66;552573.38
